Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
stomach flu,Bonferroni,3,0.0010429999999999999,0.001228,3.5e-05,0.001866
how long contagious,Bonferroni,3,0.0009943333333333334,0.000317,0.000169,0.002497
rsv,Bonferroni,3,0.0009856666666666668,0.000429,0.000207,0.002321
robitussin,Bonferroni,2,0.0019684999999999998,0.0019684999999999998,0.001513,0.002424
stomach flu,FDR,3,0.007935,0.007248,0.005001,0.011556
how long does the flu last,FDR,2,0.0042214999999999996,0.0042214999999999996,0.003449,0.004994
robitussin,FDR,1,0.003637,0.003637,0.003637,0.003637
stomach flu symptoms,FDR,1,0.009386,0.009386,0.009386,0.009386
stomach flu symptoms,Uncorrected,7,0.032982,0.036875,0.013021,0.044184
sinus,Uncorrected,3,0.028854,0.029183,0.022622,0.034757
stomach flu,Uncorrected,2,0.013679,0.013679,0.011994,0.015364
rsv,Uncorrected,2,0.027763000000000003,0.027763000000000003,0.023491,0.032035
flu fever,Uncorrected,2,0.0280675,0.0280675,0.021404,0.034731
fever flu,Uncorrected,2,0.0280675,0.0280675,0.021404,0.034731
cold symptoms,Uncorrected,2,0.032716999999999996,0.032716999999999996,0.024401,0.041033
how long contagious,Uncorrected,1,0.015694,0.015694,0.015694,0.015694
robitussin,Uncorrected,1,0.011834,0.011834,0.011834,0.011834
bronchitis,Uncorrected,1,0.022393,0.022393,0.022393,0.022393
symptoms of pneumonia,Uncorrected,1,0.024723,0.024723,0.024723,0.024723
