Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
flu how long,Bonferroni,4,7.000000000000001e-05,3.8e-05,3e-06,0.000201
symptoms of flu,Bonferroni,4,0.00040649999999999996,0.00015250000000000002,4.2e-05,0.001279
contagious flu,Bonferroni,1,0.001558,0.001558,0.001558,0.001558
contagious flu,FDR,2,0.003607,0.003607,0.002676,0.004538
the flu symptoms,FDR,2,0.007596500000000001,0.007596500000000001,0.003489,0.011704
how long does the flu last,FDR,1,0.005822,0.005822,0.005822,0.005822
flu virus,FDR,1,0.010099,0.010099,0.010099,0.010099
flu contagious,FDR,1,0.010996,0.010996,0.010996,0.010996
flu symptoms,Uncorrected,4,0.032746,0.035057,0.018087,0.042783
how long flu,Uncorrected,4,0.026736500000000003,0.029184,0.019252,0.029326
the flu symptoms,Uncorrected,3,0.021741333333333335,0.025769,0.004552,0.034903
flu virus,Uncorrected,3,0.014197000000000001,0.011908,0.01179,0.018893
flu contagious,Uncorrected,3,0.03697633333333333,0.038162,0.025867,0.0469
flu test,Uncorrected,3,0.02926933333333333,0.030957,0.020118,0.036733
contagious flu,Uncorrected,1,0.0265,0.0265,0.0265,0.0265
flu fever,Uncorrected,1,0.025569,0.025569,0.025569,0.025569
flu cold,Uncorrected,1,0.029624,0.029624,0.029624,0.029624
fever flu,Uncorrected,1,0.044789,0.044789,0.044789,0.044789
