Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
the flu symptoms,Bonferroni,5,0.00011260000000000003,5.5e-05,6e-06,0.000422
cold,Bonferroni,5,0.000697,0.000339,0.000161,0.001379
how long does the flu last,Bonferroni,3,0.0009413333333333334,0.000907,0.000283,0.001634
flu a,Bonferroni,2,0.0007295,0.0007295,1.6e-05,0.001443
flu contagious,Bonferroni,2,0.0013419999999999999,0.0013419999999999999,0.001161,0.001523
flu fever,Bonferroni,1,0.0016,0.0016,0.0016,0.0016
flu symptoms,Bonferroni,1,0.001644,0.001644,0.001644,0.001644
fever flu,FDR,6,0.018836333333333333,0.014901000000000001,0.006328,0.038018
the flu symptoms,FDR,4,0.0174605,0.0187125,0.006258,0.026159
flu a,FDR,4,0.0053805,0.0031295,0.002551,0.012712
cold,FDR,3,0.008705,0.003304,0.003079,0.019732
flu contagious,FDR,3,0.025834999999999997,0.030782,0.003324,0.043399
symptoms of flu,FDR,3,0.009274666666666667,0.009218,0.00742,0.011186
flu cold,FDR,2,0.018569000000000002,0.018569000000000002,0.018485,0.018653
flu fever,FDR,1,0.044131,0.044131,0.044131,0.044131
flu symptoms,FDR,1,0.021445,0.021445,0.021445,0.021445
pneumonia,FDR,1,0.0036,0.0036,0.0036,0.0036
the flu,FDR,1,0.00979,0.00979,0.00979,0.00979
is flu contagious,FDR,1,0.014375,0.014375,0.014375,0.014375
flu type,FDR,1,0.016556,0.016556,0.016556,0.016556
flu symptoms,Uncorrected,2,0.038758,0.038758,0.033515,0.044001
fever flu,Uncorrected,1,0.024148,0.024148,0.024148,0.024148
oscillococcinum,Uncorrected,1,0.015835,0.015835,0.015835,0.015835
flu type,Uncorrected,1,0.016402,0.016402,0.016402,0.016402
bronchitis,Uncorrected,1,0.039546,0.039546,0.039546,0.039546
flu how long,Uncorrected,1,0.048702,0.048702,0.048702,0.048702
