Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
influenza a,Bonferroni,4,0.00120875,0.0008585,0.000705,0.002413
influenza b,Bonferroni,1,0.002343,0.002343,0.002343,0.002343
flu contagious,FDR,3,0.005347333333333333,0.005676,0.004126,0.00624
contagious flu,FDR,3,0.005347333333333333,0.005676,0.004126,0.00624
stomach flu,FDR,3,0.012624666666666666,0.01479,0.004808,0.018276
flu how long,FDR,3,0.015228333333333335,0.016929,0.006965,0.021791
how long flu,FDR,3,0.015228333333333335,0.016929,0.006965,0.021791
a influenza,FDR,2,0.0130715,0.0130715,0.006637,0.019506
the flu,FDR,2,0.013864499999999998,0.013864499999999998,0.010333,0.017396
influenza b,FDR,1,0.010737,0.010737,0.010737,0.010737
symptoms of flu,FDR,1,0.012676,0.012676,0.012676,0.012676
the flu symptoms,FDR,1,0.01925,0.01925,0.01925,0.01925
influenza b,Uncorrected,2,0.030740500000000004,0.030740500000000004,0.020091,0.04139
the flu,Uncorrected,2,0.031876,0.031876,0.028308,0.035444
influenza a symptoms,Uncorrected,2,0.040334499999999995,0.040334499999999995,0.038556,0.042113
influenza a,Uncorrected,1,0.009478,0.009478,0.009478,0.009478
flu contagious,Uncorrected,1,0.044077,0.044077,0.044077,0.044077
contagious flu,Uncorrected,1,0.044077,0.044077,0.044077,0.044077
stomach flu,Uncorrected,1,0.016988,0.016988,0.016988,0.016988
a influenza,Uncorrected,1,0.02569,0.02569,0.02569,0.02569
the flu symptoms,Uncorrected,1,0.036024,0.036024,0.036024,0.036024
flu symptoms,Uncorrected,1,0.028479,0.028479,0.028479,0.028479
bronchitis,Uncorrected,1,0.044352,0.044352,0.044352,0.044352
