Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
rsv,Bonferroni,5,0.0003068,0.000378,0.0,0.0007
stomach flu,Bonferroni,1,0.001661,0.001661,0.001661,0.001661
the flu,Uncorrected,4,0.03352425,0.0335275,0.026892,0.04015
stomach flu,Uncorrected,3,0.019304,0.016788,0.011136,0.029988
flu how long,Uncorrected,2,0.0234175,0.0234175,0.018417,0.028418
how long flu,Uncorrected,2,0.0234175,0.0234175,0.018417,0.028418
contagious flu,Uncorrected,2,0.0331525,0.0331525,0.018504,0.047801
flu contagious,Uncorrected,2,0.0331525,0.0331525,0.018504,0.047801
strep,Uncorrected,2,0.039002999999999996,0.039002999999999996,0.033464,0.044542
flu a,Uncorrected,1,0.034251,0.034251,0.034251,0.034251
flu fever,Uncorrected,1,0.042954,0.042954,0.042954,0.042954
fever flu,Uncorrected,1,0.042954,0.042954,0.042954,0.042954
